	performance	mean	median	min	max	ontologyGroup	group	sortingMethod	features	rna_type
0	accuracy_mean	0.5537161383285303	0.5256666666666667	0.4280000000000001	0.8836666666666666	all	PFmid	mann_whitney_pval	Full	lincrna
1	accuracy_std	0.05247126247239867	0.052583003168535564	0.03815028760631358	0.06430720540240158	all	PFmid	mann_whitney_pval	Full	lincrna
2	f1_mean	0.5398692234910718	0.5189859236077824	0.3927778438617279	0.8877202350333252	all	PFmid	mann_whitney_pval	Full	lincrna
3	f1_std	0.07687770537877243	0.07341997259793556	0.03802789831216831	0.14524028035335748	all	PFmid	mann_whitney_pval	Full	lincrna
4	precision_mean	0.565423165711539	0.5364623290392461	0.4269031241417283	0.8591568994381888	all	PFmid	mann_whitney_pval	Full	lincrna
5	precision_std	0.0883247868780569	0.08891718397882957	0.053104600955159696	0.13938134521683634	all	PFmid	mann_whitney_pval	Full	lincrna
6	recall_mean	0.5526261503604752	0.5283918020483631	0.3882188055089649	0.9377506797423044	all	PFmid	mann_whitney_pval	Full	lincrna
7	recall_std	0.1405697058629168	0.14150331162356447	0.042420604943935576	0.2593465987970168	all	PFmid	mann_whitney_pval	Full	lincrna
8	accuracy_mean	0.7200975609756097	0.6995000000000001	0.5163333333333333	0.8836666666666666	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
9	accuracy_std	0.047161684750645076	0.04783623684567543	0.03815028760631358	0.054490315143559634	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
10	f1_mean	0.7097569018059412	0.6980662712871741	0.5032550257238789	0.8877202350333252	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
11	f1_std	0.056278255502928226	0.058942094935521834	0.03802789831216831	0.08192072203454903	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
12	precision_mean	0.7220124029361293	0.7057768001016419	0.5340749495630945	0.8591568994381888	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
13	precision_std	0.08002358878030903	0.07765461490261594	0.05904645891805995	0.11426373324355175	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
14	recall_mean	0.7123535423553747	0.7048667435521403	0.4923283699008739	0.9377506797423044	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
15	recall_std	0.08569691138188217	0.08823617082984664	0.042420604943935576	0.17960881273140622	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
16	accuracy_mean	0.531423202614379	0.5205	0.4280000000000001	0.7496666666666666	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
17	accuracy_std	0.05318267648086893	0.052976272591676664	0.04359504304135711	0.06430720540240158	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
18	f1_mean	0.5171064953508441	0.5106893460915238	0.3927778438617279	0.7357599996299449	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
19	f1_std	0.07963776238828096	0.07618051581472202	0.05202441349851949	0.14524028035335748	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
20	precision_mean	0.5444422548415776	0.5294774452579556	0.4269031241417283	0.7726936435168363	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
21	precision_std	0.08943703891076166	0.089938017436637	0.053104600955159696	0.13938134521683634	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
22	recall_mean	0.5312247677729234	0.5225281596518376	0.3882188055089649	0.7120943966627518	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
23	recall_std	0.14792194303194434	0.15078312615632322	0.06960804088806978	0.2593465987970168	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
24	accuracy_mean	0.1886743583612307	0.17900000000000016	0.08833333333333321	0.134	Delta	PFmid	mann_whitney_pval	Full	lincrna
