DPI peak;promoter name;max expression (TPM);median expression (TPM);5th;25th;75th;95th;kurtosis;skew;TATA;CpG;Gene Symbol
"chr3:120068226..120068237,-";p5@LRRC58;"2,4";"0,3";0;0;"0,6";"1,2";"2,037819877";"1,306060825";TATA-less;CpG;LRRC58
"chr12:50236907..50236916,-";p2@BCDIN3D;"2,5";"0,3";0;0;"0,5";"1,06";"2,902432513";"1,442200932";TATA-less;CpG;BCDIN3D
"chr8:86089341..86089362,+";p5@E2F5;"2,7";"0,3";0;0;"0,8";"1,6";"1,48115316";"1,330094067";TATA-less;CpG;E2F5
"chr5:64064428..64064435,-";p5@SREK1IP1;"2,7";"0,3";0;0;"0,6";"1,3";"2,742962071";"1,430754529";TATA-less;CpG;SREK1IP1
"chr1:151377005..151377009,-";p6@POGZ;"2,7";"0,3";0;0;"0,6";"1,3";"2,946907747";"1,52376509";TATA-less;CpG-less;POGZ
"chr1:154946917..154946928,-";p9@SHC1;"2,7";"0,3";0;0;"0,6";"1,2";"3,52772017";"1,600793963";TATA-less;CpG;SHC1
"chr1:151138422..151138440,-";p3@LYSMD1;"2,7";"0,3";0;0;"0,6";"1,4";"3,953332474";"1,828719118";TATA-less;CpG-less;LYSMD1
"chr16:71323196..71323207,-";p2@FTSJD1;"2,8";"0,3";0;0;"0,6";"1,3";"3,800884";"1,720677096";TATA-less;CpG;FTSJD1
"chr3:15468991..15469001,-";p3@METTL6;"2,8";"0,3";0;0;"0,5";"1,2";"5,445746785";"1,930070292";TATA-less;CpG;METTL6
"chr4:57576187..57576190,+";p1@RPL17P20;"2,9";"0,3";0;0;"0,7";"1,5";"2,559643136";"1,470422689";TATA-less;CpG-less;RPL17P20
"chr14:50087456..50087467,+";p3@MGAT2;"2,9";"0,3";0;0;"0,7";"1,46";"2,724221245";"1,522068072";TATA-less;CpG;MGAT2
"chrX:38663390..38663397,+";p8@MID1IP1;"2,9";"0,3";0;0;"0,6";"1,36";"3,003110737";"1,53809321";TATA-less;CpG;MID1IP1
"chr1:162496079..162496082,+";p2@UHMK1;"2,9";"0,3";0;0;"0,6";"1,2";"3,127147063";"1,559778646";TATA-less;CpG-less;UHMK1
"chr3:146262457..146262460,-";p8@PLSCR1;"2,9";"0,3";0;0;"0,6";"1,16";"3,637748873";"1,594843198";TATA-less;CpG;PLSCR1
"chr9:99417615..99417622,-";p2@C9orf21;3;"0,6";0;"0,2";1;"1,9";"0,838836603";"0,999175244";TATA-less;CpG-less;C9orf21
"chr17:65336360..65336374,-";"p@chr17:65336360..65336374,-";3;"0,3";0;0;"0,7";"1,46";"2,358872024";"1,424289223";TATA-less;CpG-less;"chr17:65336360..65336374,-"
"chr15:40733387..40733416,+";p4@BAHD1;3;"0,4";0;0;"0,7";"1,5";"2,67830459";"1,486020068";TATA-less;CpG;BAHD1
"chr2:202122927..202122958,+";p8@CASP8;3;"0,3";0;0;"0,6";"1,3";"3,072222149";"1,558726315";TATA-less;CpG-less;CASP8
"chr6:33239712..33239723,-";p3@VPS52;3;"0,3";0;0;"0,5";"1,2";"3,61314623";"1,614244385";TATA-less;CpG;VPS52
"chr9:96214166..96214175,+";p7@FAM120A;3;"0,3";0;0;"0,6";"1,2";"4,487290629";"1,635225929";TATA-less;CpG;FAM120A
"chrX:87352259..87352261,-";p1@ENST00000449217;3;"0,3";0;0;"0,6";"1,3";"3,978118728";"1,699353327";TATA-less;CpG-less;ENST00000449217
"chr3:196230699..196230710,-";p5@RNF168;3;"0,3";0;0;"0,6";"1,3";"4,240097057";"1,778100426";TATA-less;CpG;RNF168
"chr11:116658758..116658765,-";p2@ZNF259;3;"0,3";0;0;"0,6";"1,1";"6,250903667";"1,967809127";TATA-less;CpG;ZNF259
"chr9:77596933..77596938,-";"p@chr9:77596933..77596938,-";3;"0,3";0;0;"0,6";"1,2";"6,962142241";"2,195368369";TATA-less;CpG-less;"chr9:77596933..77596938,-"
"chr4:56413104..56413117,-";p5@CLOCK;"3,1";"0,5";0;"0,1";"0,9";"1,7";"1,757756148";"1,255431377";TATA-less;CpG;CLOCK
"chr10:90750301..90750317,+";p6@FAS;"3,1";"0,3";0;0;"0,7";"1,7";"2,204697002";"1,526789217";TATA-less;CpG;FAS
"chr17:41322469..41322482,+";p4@NBR1;"3,1";"0,4";0;0;"0,7";"1,46";"3,43055726";"1,597639743";TATA-less;CpG-less;NBR1
"chr19:49122785..49122799,+";p5@SPHK2;"3,1";"0,3";0;0;"0,7";"1,6";"3,145340776";"1,635854568";TATA-less;CpG;SPHK2
