	geneID	loci	strand	geneName	geneClass	geneCategory	DHS_type	geneType	exonLen_bin	splicingType	TIEScore_tier	total_clstrCount	num_transcript	coding_status	directionality	cumulative_support	support_source_num	DPI	sum_spIndx	max_genomicLen	max_exonLen	TE_LINE_associated	TE_SINE_associated	TE_DNA_associated	TE_LTR_associated	annoComment	promoter name	max expression (TPM)	median expression (TPM)	5th	25th	75th	95th	kurtosis	skew	TATA	CpG	Gene Symbol	chrom
0	CATG00000001138.1	chr10:126565359-126605273,-	-	CATG00000001138.1	lncRNA_intergenic	p_lncRNA_intergenic	DHS_promoter	__na	bin5:>2000nt	type2:di-exonic	tier4_stringent	5086	3	nonCoding	-0.84975	ENCODE:FANTOM	2	chr10:126605254..126605281,-	0.0	39915	39702	no	no	no	no	long non-coding RNA and at least 2000 nt from coding related gene on both strand;standalone;multi_exonic	p@chr10:126605254..126605281,-	5,8	0,5	0	0,2	1	2,2	6,819454427	2,187446161	TATA-less	CpG	chr10:126605254..126605281,-	chr10
3	CATG00000005030.1	chr11:22643839-22647094,-	-	CATG00000005030.1	coding_mRNA	__na	DHS_promoter	__na	bin5:>2000nt	type3:tri-exonic	tier4_stringent	6149	1	coding	0.9131299999999999	MITRANS	1	chr11:22647056..22647100,-	0.0	3256	3083	no	no	no	no	At least 1 of the 10 top ranked transcript is CPAT coding and max ORF size >=300, NOT annotated as nonCoding in GENCODE	p2@FANCF	8	0,8	0	0,3	1,3	2,5	7,497328005	1,819095086	TATA-less	CpG	FANCF	chr11
15	CATG00000039813.1	chr19:54663830-54682127,+	+	CATG00000039813.1	coding_mRNA	__na	DHS_promoter	__na	bin5:>2000nt	type2:di-exonic	tier4_stringent	5820	3	coding	-0.39483	FANTOM:MITRANS	2	chr19:54663797..54663837,+	0.22535211267605604	4290	4081	no	no	no	no	At least 1 of the 10 top ranked transcript is CPAT coding and max ORF size >=300, NOT annotated as nonCoding in GENCODE	p@chr19:54663797..54663837,+	5	0,5	0	0	1	2,4	4,069412609	1,850316027	TATA-less	CpG	chr19:54663797..54663837,+	chr19
16	CATG00000040186.1	chr19:7085323-7099556,-	-	CATG00000040186.1	lncRNA_intergenic	p_lncRNA_intergenic	DHS_promoter	__na	bin5:>2000nt	type3:tri-exonic	tier4_stringent	7758	5	nonCoding	0.9738700000000001	ENCODE:MITRANS	2	chr19:7099528..7099578,-	0.4	14234	10619	no	no	no	no	long non-coding RNA proximal to ENSG00000130544.7_in_AS_strand;with antisense partner;multi_exonic	p1@AK127494	8,6	0,8	0	0,3	1,5	3,3	5,363818527	1,869130618	TATA-less	CpG	AK127494	chr19
32	CATG00000078201.1	chr5:154062295-154104818,+	+	CATG00000078201.1	lncRNA_intergenic	p_lncRNA_intergenic	DHS_promoter	__na	bin5:>2000nt	type3:tri-exonic	tier4_stringent	17169	1	nonCoding	0.98877	ENCODE	1	chr5:154062217..154062315,+	0.0845070422535211	42524	41950	no	no	no	no	long non-coding RNA proximal to ENSG00000155506.12_in_SS_strand;standalone;multi_exonic	p@chr5:154062217..154062315,+	22,5	2,3	0	1,1	4,1	9,3	7,143112702	2,157454109	TATA-less	CpG-less	chr5:154062217..154062315,+	chr5
35	CATG00000081380.1	chr5:137809606-137810936,-	-	CATG00000081380.1	lncRNA_intergenic	__na	not_DHS	__na	bin4:1000-2000nt	type1:unspliced	tier3_robust	8675	1	nonCoding	0.97144	FANTOM	1	chr5:137810926..137810943,-	0.0	1331	1331	yes	no	no	no	long non-coding RNA and at least 2000 nt from coding related gene on both strand;standalone;mono_exonic	p@chr5:137810926..137810943,-	10,5	1,4	0	0,7	2,5	4,3	4,087814459	1,567900043	TATA	CpG-less	chr5:137810926..137810943,-	chr5
36	CATG00000083589.1	chr6:32862537-32878303,+	+	CATG00000083589.1	lncRNA_intergenic	p_lncRNA_intergenic	DHS_promoter	__na	bin5:>2000nt	type3:tri-exonic	tier4_stringent	49460	5	nonCoding	0.84073	ENCODE:FANTOM	2	chr6:32862494..32862577,+	1.6625218509535802	15767	9715	no	no	no	no	long non-coding RNA and at least 2000 nt from coding related gene on both strand;standalone;multi_exonic	p1@ENST00000499196,p1@uc003oci.1	49,6	7	1,5	4,3	11,3	19,56	6,94571735	2,060587124	TATA-less	CpG	uc003oci.1	chr6
40	CATG00000107360.1	chr9:139001634-139017005,+	+	CATG00000107360.1	coding_mRNA	__na	DHS_promoter	__na	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	20030	16	coding	-0.76279	ENCODE:FANTOM:HUBDMAP:MITRANS	4	chr9:139010832..139010900,+	0.253748387528583	14993	12341	no	no	no	no	At least 1 of the 10 top ranked transcript is CPAT coding and max ORF size >=300, NOT annotated as nonCoding in GENCODE	p@chr9:139010832..139010900,+	16,7	1,6	0,14	0,8	2,7	6,1	9,246714519	2,441209174	TATA-less	CpG	chr9:139010832..139010900,+	chr9
41	CATG00000108369.1	chr9:41923582-41955080,-	-	CATG00000108369.1	lncRNA_intergenic	p_lncRNA_intergenic	DHS_promoter	__na	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	15154	5	nonCoding	0.9974	FANTOM:HUBDMAP	2	chr9:41955058..41955102,-	2.15285371068391	31499	2700	no	no	no	yes	long non-coding RNA and at least 2000 nt from coding related gene on both strand;standalone;multi_exonic	p1@MGC21881	17,3	1,9	0	0,9	3,4	7,2	7,227584582	2,202450318	TATA-less	CpG-less	MGC21881	chr9
43	ENSG00000000419.8	chr20:49551246-49575087,-	-	DPM1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	429971	11	coding	0.76615	FANTOM:GENCODE:HUBDMAP:MITRANS	4	chr20:49575059..49575077,-	9.935932454882039	23684	3177	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@DPM1	469,1	73,9	27,26	50,3	96,7	144,2	12,82974974	2,240661674	TATA-less	CpG	DPM1	chr20
44	ENSG00000000457.9	chr1:169778395-169863408,-	-	SCYL3	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	47816	14	coding	0.9898899999999999	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr1:169863016..169863109,-	14.1489235289116	84812	9897	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SCYL3	49,8	7	2,9	5	10	19,08	9,028633585	2,356806252	TATA-less	CpG-less	SCYL3	chr1
45	ENSG00000001036.9	chr6:143814098-143867131,-	-	FUCA2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	500952	11	coding	0.9984	ENCODE:FANTOM:GENCODE:MITRANS	4	chr6:143832820..143832875,-	6.68082185329329	53034	4002	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@FUCA2	566,9	63,9	6,4	33,7	98,2	153,22	13,10566329	2,164456059	TATA-less	CpG	FUCA2	chr6
46	ENSG00000001460.13	chr1:24680866-24745870,-	-	STPG1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	41549	35	coding	0.9772	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr1:24740207..24740283,-	11.583328726668599	62521	6513	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@C1orf201	40,8	5,3	0,5	2,8	8,5	16,6	7,417123487	2,117124228	TATA-less	CpG	C1orf201	chr1
48	ENSG00000001629.5	chr7:91874946-92040011,+	+	ANKIB1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	94381	45	coding	-0.026010000000000002	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr7:91875273..91875344,+	22.4718954018193	164674	15510	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@ANKIB1	51,2	9,3	3,14	6,5	12,5	22,1	4,932036657	1,696406952	TATA-less	CpG	ANKIB1	chr7
49	ENSG00000001631.10	chr7:91816356-91875784,-	-	KRIT1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	64162	44	coding	-0.09548999999999999	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr7:91875181..91875260,-	17.4833677452246	50665	15343	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@KRIT1	64,5	10	2,2	6,5	15	24,92	6,234191101	1,785977904	TATA-less	CpG	KRIT1	chr7
