	geneID	chrom	strand	start	CAT_geneClass	FDmean	TSS2kFD	TSSFD	TSSvar	PseudoVarFD	TSS2kFD_scaled	TSSFD_scaled	TSSvar_scaled	PseudoVarFD_scaled	pseudoVarPlus1	pseudoVarPlus1_scaled	TSS2kRATIO
90	ENSG00000014919.8	10	-	101491852	coding_mRNA	37.07009299070093	22.8015992003998	6.54228855721393	18.10945273631841	13.0	-1.1611509214202849	-2.4843118101803223	0.11992958440783195	1.0579224824905396	27.0	1.572902262210846	0.6150942002254919
91	ENSG00000015171.14	10	+	181395	coding_mRNA	35.26717328267173	13.93903048475762	7.781094527363184	1.5318407960199003	4.0	-1.5715485482901588	-2.025291547253357	0.008316928887811052	0.29473698139190674	4.0	0.2080388069152832	0.3952409333471152
93	ENSG00000023041.7	10	-	114206672	coding_mRNA	39.64573542645736	25.676661669165416	14.427860696517413	68.3560199004975	26.0	-1.2298965216826077	-2.2202886799674717	0.5298814087440846	2.289150416851044	33.0	1.9729275107383728	0.6476525505951453
103	ENSG00000055950.12	10	-	102747254	coding_mRNA	32.72622737726228	21.05847076461769	8.656716417910447	4.646567164179103	9.0	-1.1369473910045766	-2.3454180546660917	0.04412027062082482	0.8769917488098145	36.0	2.3644730448722844	0.6434738267218916
104	ENSG00000057608.12	10	-	5855393	coding_mRNA	30.81841815818418	12.6191904047976	2.004975124378109	0.4649751243781095	3.0	-1.4648719325043569	-2.3192194421493	0.0030124684309178924	0.2414724826812744	10.0	0.5367616415023804	0.4094691148658593
105	ENSG00000059573.4	10	-	97416416	coding_mRNA	42.22657734226577	26.155422288855572	11.910447761194028	5.831940298507463	9.0	-1.350636944518253	-2.547799722472233	0.04119041515184146	0.7563695907592773	12.0	0.6807335615158081	0.6194066375982568
107	ENSG00000060339.9	10	+	70480996	coding_mRNA	34.56884311568843	17.205897051474267	7.442786069651741	21.737960199004974	21.0	-1.3724792242936348	-2.1442184608374073	0.13582617963639934	1.6599754095077517	60.0	3.5411280095577236	0.4977284601018565
108	ENSG00000062650.13	10	-	88281549	coding_mRNA	38.271372862713726	16.62568715642179	1.7412935323383083	1.3227363184079604	4.0	-1.5220732237419476	-2.568708379470294	0.006540358591869975	0.28127050399780273	46.0	2.3890509605407715	0.4344157502805324
111	ENSG00000065613.9	10	+	105726927	coding_mRNA	33.11338866113389	17.12343828085957	2.781094527363184	3.3018407960199005	7.0	-1.3378203160309607	-2.5377914300605426	0.023113063457698237	0.5856642723083496	17.0	0.9219974279403688	0.5171152507552883
114	ENSG00000065665.16	10	+	12171688	coding_mRNA	32.22127787221278	18.49775112443778	4.865671641791045	3.6868656716417907	7.0	-1.0713696466225466	-2.135600167720472	0.02247008167836808	0.5464767217636108	21.0	1.160578727722168	0.5740849632903605
118	ENSG00000067057.12	10	+	3109740	coding_mRNA	33.2978702129787	19.11994002998501	10.940298507462687	10.086417910447759	12.0	-1.0130639906557484	-1.5975287506236366	0.05149737198525798	0.85744309425354	24.0	1.3127591609954834	0.5742090982903921
127	ENSG00000075407.13	10	+	38383293	coding_mRNA	38.133386661333866	20.60619690154923	11.457711442786069	1.049452736318408	6.0	-1.3036404956301593	-1.9840881978694485	0.005805694794536054	0.44626903533935547	30.0	1.5000602006912231	0.5403715406804742
128	ENSG00000075826.12	10	-	102289627	coding_mRNA	36.73662633736625	28.772613693153424	17.696517412935325	71.86243781094528	23.0	-0.7968849646730878	-1.905167313950572	0.7194975861402068	2.3013969063758846	36.0	2.171095296740532	0.7832132822683195
130	ENSG00000076685.14	10	-	104953029	coding_mRNA	31.01429857014299	20.229885057471265	6.039800995024875	2.428407960199005	7.0	-1.0021749266823206	-2.3208322845288176	0.020970825538662828	0.6504964828491211	21.0	1.360427737236023	0.6522760787808459
131	ENSG00000077147.10	10	-	98346769	coding_mRNA	34.87361263873613	17.982008995502245	5.104477611940299	2.2840298507462684	7.0	-1.3813508442881843	-2.434441406335404	0.01527452944647062	0.5724415779113771	11.0	0.6367926597595215	0.5156336735680948
137	ENSG00000078403.12	10	+	21823165	coding_mRNA	33.960903909609044	14.610694652673665	6.796019900497513	2.45318407960199	6.0	-1.4009666049855058	-1.9667536524397815	0.01285920927831363	0.43440365791320795	19.0	0.9892477989196776	0.4302210180141776
138	ENSG00000079332.10	10	-	71930268	coding_mRNA	33.335366463353665	18.005497251374308	2.7860696517412937	0.8690049751243781	5.0	-1.375205910556588	-2.7405044190326144	0.006993279152149489	0.44853806495666493	37.0	2.3037469387054443	0.5401319727853651
141	ENSG00000089876.7	10	-	127585021	coding_mRNA	59.07189281071893	41.73013493253373	21.815920398009947	71.42094527363184	34.0	-0.4778620770159431	-1.0266096548951087	0.05423060582761157	0.9368894398212432	40.0	0.9863442182540894	0.7064296223966868
143	ENSG00000095485.12	10	-	102027395	coding_mRNA	33.496250374962514	20.261869065467266	13.238805970149254	66.96268656716418	27.0	-1.1764328772242159	-1.8007282129122844	0.5291269749870334	2.4000885039567947	34.0	2.1735938787460327	0.6048996182752573
146	ENSG00000095574.7	10	-	124768311	coding_mRNA	35.555744425557435	19.73113443278361	5.308457711442786	0.7743781094527363	4.0	-1.336690100532645	-2.5549602093388186	0.005525207535285092	0.3378763198852539	33.0	1.9954161047935488	0.5549352081235257
158	ENSG00000096746.13	10	+	70091821	coding_mRNA	30.574942505749426	12.953023488255873	4.756218905472637	0.7152736318407961	3.0	-1.2907036971682493	-1.8910722940122309	0.0038372368051458423	0.21973252296447754	19.0	0.9840902090072632	0.4236483350972822
161	ENSG00000099246.12	10	+	27793233	coding_mRNA	38.87091290870914	22.843578210894552	10.388059701492537	5.7786567164179115	10.0	-1.3052494842196063	-2.3196139798235538	0.038325811042500234	0.8143897056579591	22.0	1.2202333211898804	0.5876779448052631
166	ENSG00000099290.11	10	+	51827714	coding_mRNA	36.87601239876013	22.31234382808596	5.064676616915422	10.230796019900495	10.0	-1.1330630043535486	-2.4749428620978966	0.061926420923999234	0.7780065536499023	19.0	1.0377825498580933	0.6050638986344457
